"anno_nascita","comune_residenza","sesso"
1944,"AOSTA","M"
1990,"AOSTA","M"
1997,"AOSTA","M"
1952,"AYAS","F"
1980,"AOSTA","F"
1960,"AOSTA","M"
1983,"GRESSAN","M"
1962,"VERRES","F"
1996,"POLLEIN","F"
1952,"AOSTA","F"
1960,"AOSTA","F"
1975,"SARRE","F"
1969,"AOSTA","M"
1980,"AOSTA","M"
1944,"AOSTA","M"
1989,"AOSTA","F"
1961,"DONNAS","M"
1948,"AOSTA","M"
1957,"GIGNOD","M"
1981,"AOSTA","F"
1944,"AOSTA","F"
1957,"AOSTA","F"
1976,"AOSTA","F"
1963,"GRESSAN","F"
1991,"AOSTA","F"
1969,"AOSTA","M"
1975,"QUART","M"
1969,"AOSTA","F"
1948,"VERRES","M"
1988,"ALLEIN","M"
1993,"PONTEY","F"
1987,"GRESSAN","M"
1941,"AOSTA","M"
1950,"AOSTA","F"
1964,"EMARESE","M"
1956,"QUART","F"
1963,"AOSTA","M"
1948,"AOSTA","M"
1969,"AOSTA","F"
1974,"QUART","M"
1984,"SARRE","M"
1971,"AOSTA","F"
1991,"GRESSONEY SAINT JEAN","F"
1963,"AOSTA","F"
1982,"AOSTA","M"
1937,"DONNAS","F"
1950,"AOSTA","M"
1977,"QUART","M"
1987,"AOSTA","F"
1933,"AOSTA","F"
1963,"AOSTA","M"
1963,"SARRE","M"
1998,"SARRE","F"
1978,"COGNE","F"
1961,"CHATILLON","M"
1983,"AOSTA","F"
1995,"ARNAD","M"
1945,"QUART","M"
1938,"AOSTA","M"
1949,"AOSTA","M"
1949,"AOSTA","M"
1972,"AOSTA","F"
1976,"AOSTA","M"
1958,"QUART","M"
1993,"QUART","M"
1954,"NUS","F"
1995,"SARRE","M"
1955,"AOSTA","M"
1941,"AOSTA","M"
1975,"DONNAS","M"
1958,"AOSTA","M"
1982,"MORGEX","M"
1988,"ROISAN","M"
1960,"AOSTA","M"
1958,"DONNAS","M"
1970,"AOSTA","F"
1974,"AOSTA","F"
1954,"AVISE","M"
1969,"AOSTA","M"
1956,"AOSTA","M"
1962,"GIGNOD","M"
1957,"HONE","M"
1959,"AOSTA","F"
1949,"VERRES","F"
1938,"AOSTA","M"
1951,"AOSTA","F"
1982,"PONTEY","F"
1962,"QUART","M"
1975,"QUART","M"
1963,"GRESSAN","M"
1972,"AOSTA","M"
1944,"POLLEIN","M"
1959,"DONNAS","M"
1970,"COGNE","F"
1970,"ROISAN","F"
1986,"HONE","M"
1970,"AYAS","F"
1968,"ISSOGNE","F"
1952,"AOSTA","F"
1965,"ROISAN","M"
1988,"AOSTA","M"
1983,"AOSTA","M"
1982,"AOSTA","M"
1959,"AOSTA","F"
1972,"DONNAS","F"
1985,"AOSTA","F"
1990,"FENIS","M"
1991,"AOSTA","M"
1986,"AOSTA","F"
1949,"SAINT VINCENT","F"
1945,"SAINT VINCENT","F"
1968,"AOSTA","M"
1936,"VERRAYES","M"
1969,"COURMAYEUR","F"
1959,"FENIS","F"
1942,"GRESSAN","M"
1972,"TORGNON","F"
1958,"VALTOURNENCHE","M"
1943,"BRUSSON","M"
1962,"HONE","M"
1978,"GIGNOD","M"
1961,"AYMAVILLES","M"
1955,"VERRES","M"
1943,"AOSTA","M"
1977,"SARRE","F"
1949,"AOSTA","F"
1951,"DONNAS","M"
1952,"SAINT-CHRISTOPHE","M"
1943,"ISSOGNE","F"
1957,"ISSOGNE","M"
1940,"VERRES","F"
1941,"CHAMPDEPRAZ","M"
1948,"BRUSSON","F"
1958,"AOSTA","F"
1957,"FONTAINEMORE","F"
1981,"AOSTA","F"
1961,"AYAS","F"
1950,"SARRE","F"
1968,"SARRE","M"
1947,"AOSTA","F"
1974,"FENIS","M"
1942,"DOUES","F"
1966,"FENIS","F"
1940,"AOSTA","F"
1974,"AOSTA","M"
1972,"AOSTA","M"
1958,"AOSTA","M"
1991,"AOSTA","F"
1994,"AOSTA","F"
1966,"AOSTA","F"
1966,"CHATILLON","F"
1943,"SARRE","F"
1968,"AOSTA","M"
1954,"AOSTA","M"
,"MONTJOVET","M"
1992,"AOSTA","F"
1974,"AOSTA","M"
1984,"QUART","M"
1969,"NUS","M"
1965,"AOSTA","M"
1992,"AOSTA","M"
1986,"AOSTA","M"
1943,"AOSTA","M"
1939,"AOSTA","F"
1998,"AOSTA","F"
1972,"AOSTA","F"
1973,"AOSTA","F"
1975,"COGNE","F"
1956,"SAINT MARCEL","F"
1997,"QUART","M"
1947,"AVISE","M"
1966,"AOSTA","F"
1998,"AOSTA","F"
1927,"LILLIANES","F"
1964,"SARRE","F"
1962,"COGNE","F"
1965,"AOSTA","M"
1962,"SARRE","M"
1933,"AOSTA","M"
1988,"AOSTA","M"
1967,"GRESSAN","F"
