comune_residenza,provincia
AOSTA,AOSTA
AYAS,AOSTA
GRESSAN,AOSTA
VERRES,AOSTA
POLLEIN,AOSTA
SARRE,AOSTA
DONNAS,AOSTA
GIGNOD,AOSTA
QUART,AOSTA
ALLEIN,AOSTA
PONTEY,AOSTA
EMARESE,AOSTA
GRESSONEY SAINT JEAN,AOSTA
COGNE,AOSTA
CHATILLON,AOSTA
ARNAD,AOSTA
NUS,AOSTA
MORGEX,AOSTA
ROISAN,AOSTA
AVISE,AOSTA
HONE,AOSTA
ISSOGNE,AOSTA
FENIS,AOSTA
SAINT VINCENT,AOSTA
VERRAYES,AOSTA
COURMAYEUR,AOSTA
TORGNON,AOSTA
VALTOURNENCHE,AOSTA
BRUSSON,AOSTA
AYMAVILLES,AOSTA
SAINT-CHRISTOPHE,AOSTA
CHAMPDEPRAZ,AOSTA
FONTAINEMORE,AOSTA
DOUES,AOSTA
MONTJOVET,AOSTA
SAINT MARCEL,AOSTA
LILLIANES,AOSTA
PERLOZ,AOSTA
BARD,AOSTA
SAINT NICOLAS,AOSTA
CHARVENSOD,AOSTA
CHAMPORCHER,AOSTA
BIONAZ,AOSTA
OYACE,AOSTA
LA SALLE,AOSTA
ISSIME,AOSTA
SAINT PIERRE,AOSTA
CHALLAND SAINT VICTOR,AOSTA
LA THUILE,AOSTA
PONT SAINT MARTIN,AOSTA
JOVENCAN,AOSTA
GABY,AOSTA
ANTEY-SAINT-ANDRE',AOSTA
ARVIER,AOSTA
CHALLAND SAINT ANSELME,AOSTA
PRE' SAINT DIDIER,AOSTA
VALPELLINE,AOSTA
GRESSONEY-LA-TRINITE',AOSTA
ETROUBLES,AOSTA
CHAMOIS,AOSTA
BRISSOGNE,AOSTA
CHAMBAVE,AOSTA
SAINT DENIS,AOSTA
SAINT OYEN,AOSTA
VILLENEUVE,AOSTA
INTROD,AOSTA
RHEMES SAINT GEORGES,AOSTA
LA MAGDELEINE,AOSTA
VALGRISENCHE,AOSTA
PONTBOSET,AOSTA
SAINT RHEMY EN BOSSES,AOSTA
VALSAVARENCHE,AOSTA
OLLOMONT,AOSTA
RHEMES-NOTRE-DAME,AOSTA
VALTOURNENCE,AOSTA
GRESSONEY,AOSTA
GRESSONAY SAN YEAN,AOSTA
VALGRISENCE,AOSTA
RHEMES,AOSTA
